START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
09/14/2013,7:00 PM,7:00 PM,Washington 4 - Winnipeg 3,Yardmen Arena - Belleville, On,CBC / NHLN-US,09/14/2013,09/14/2013,10:00 PM,10:00 PM,FALSE,TRUE,09/14/2013,6:00 PM,6:00 PM,FREE,BUSY
09/16/2013,7:00 PM,7:00 PM,Washington 4 - Philadelphia 3,Wells Fargo Center - Philadelphia, ,09/16/2013,09/16/2013,10:00 PM,10:00 PM,FALSE,TRUE,09/16/2013,6:00 PM,6:00 PM,FREE,BUSY
09/17/2013,7:00 PM,7:00 PM,Boston 3 - Washington 2,1st Mariner Arena - Baltimore, Md,CSN-DC,09/17/2013,09/17/2013,10:00 PM,10:00 PM,FALSE,TRUE,09/17/2013,6:00 PM,6:00 PM,FREE,BUSY
09/20/2013,7:00 PM,7:00 PM,Chicago 5 - Washington 4,Verizon Center - Washington,NHLN-US /  CSN-CH /  CSN-DC,09/20/2013,09/20/2013,10:00 PM,10:00 PM,FALSE,TRUE,09/20/2013,6:00 PM,6:00 PM,FREE,BUSY
09/23/2013,7:00 PM,7:00 PM,Washington 2 - Boston 3,TD Garden - Boston,NHLN-US /  NESN,09/23/2013,09/23/2013,10:00 PM,10:00 PM,FALSE,TRUE,09/23/2013,6:00 PM,6:00 PM,FREE,BUSY
09/25/2013,7:00 PM,7:00 PM,Nashville 1 - Washington 4,Verizon Center - Washington, ,09/25/2013,09/25/2013,10:00 PM,10:00 PM,FALSE,TRUE,09/25/2013,6:00 PM,6:00 PM,FREE,BUSY
09/27/2013,7:00 PM,7:00 PM,Philadelphia 3 - Washington 6,Verizon Center - Washington,NHLN-US /  CSN-DC,09/27/2013,09/27/2013,10:00 PM,10:00 PM,FALSE,TRUE,09/27/2013,6:00 PM,6:00 PM,FREE,BUSY
09/28/2013,7:00 PM,8:00 PM,Washington 3 - Chicago 4,United Center - Chicago,CSN-CH+,09/28/2013,09/28/2013,10:00 PM,11:00 PM,FALSE,TRUE,09/28/2013,6:00 PM,7:00 PM,FREE,BUSY
10/01/2013,7:00 PM,8:00 PM,Washington at Chicago,United Center - Chicago - IL,NBCSN,10/01/2013,10/01/2013,10:00 PM,11:00 PM,FALSE,TRUE,10/01/2013,6:00 PM,7:00 PM,FREE,BUSY
10/03/2013,7:00 PM,7:00 PM,Calgary at Washington,Verizon Center - Washington - DC,TSN /  CSN-DC,10/03/2013,10/03/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/03/2013,6:00 PM,6:00 PM,FREE,BUSY
10/05/2013,7:00 PM,8:00 PM,Washington at Dallas,American Airlines Center - Dallas - TX,CSN-DC /  TXA 21,10/05/2013,10/05/2013,10:00 PM,11:00 PM,FALSE,TRUE,10/05/2013,6:00 PM,7:00 PM,FREE,BUSY
10/10/2013,7:00 PM,7:00 PM,Carolina at Washington,Verizon Center - Washington - DC,SPSO /  CSN-DC,10/10/2013,10/10/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/10/2013,6:00 PM,6:00 PM,FREE,BUSY
10/12/2013,7:00 PM,7:00 PM,Colorado at Washington,Verizon Center - Washington - DC,RDS /  ALT /  CSN-DC,10/12/2013,10/12/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/12/2013,6:00 PM,6:00 PM,FREE,BUSY
10/14/2013,7:00 PM,7:00 PM,Edmonton at Washington,Verizon Center - Washington - DC,SNET-W /  CSN-DC,10/14/2013,10/14/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/14/2013,6:00 PM,6:00 PM,FREE,BUSY
10/16/2013,8:00 PM,8:00 PM,Ny Rangers at Washington,Verizon Center - Washington - DC,TSN2 / RDS2 / NBCSN,10/16/2013,10/16/2013,11:00 PM,11:00 PM,FALSE,TRUE,10/16/2013,7:00 PM,7:00 PM,FREE,BUSY
10/19/2013,7:00 PM,7:00 PM,Columbus at Washington,Verizon Center - Washington - DC,FS-O /  CSN-DC,10/19/2013,10/19/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/19/2013,6:00 PM,6:00 PM,FREE,BUSY
10/22/2013,7:00 PM,8:00 PM,Washington at Winnipeg,MTS Centre - Winnipeg - MB,CSN-DC /  TSN-JETS,10/22/2013,10/22/2013,10:00 PM,11:00 PM,FALSE,TRUE,10/22/2013,6:00 PM,7:00 PM,FREE,BUSY
10/24/2013,7:30 PM,9:30 PM,Washington at Edmonton,Rexall Place - Edmonton - AB,CSN-DC /  SNET-EDM,10/24/2013,10/25/2013,10:30 PM,12:30 AM,FALSE,TRUE,10/24/2013,6:30 PM,8:30 PM,FREE,BUSY
10/26/2013,8:00 PM,10:00 PM,Washington at Calgary,Scotiabank Saddledome - Calgary - AB,CBC /  CSN-DC,10/26/2013,10/27/2013,11:00 PM,1:00 AM,FALSE,TRUE,10/26/2013,7:00 PM,9:00 PM,FREE,BUSY
